Coin,Date,Open,High,Low,Close,Market Cap,Volume,LogReturn,RealizedVol,H-L,H-PC,L-PC,TR,ATR,garch_vol
Ethereum,2025-09-04 00:00:00,4449.8670977283255,4449.8670977283255,4449.8670977283255,4449.8670977283255,537549763927.1384,30818352470.84173,,,0.0,,,0.0,,
Ethereum,2025-09-05 00:00:00,4298.094660544595,4298.094660544595,4298.094660544595,4298.094660544595,519319443328.1493,29893273380.076374,-0.034702407751335713,,0.0,151.7724371837303,151.7724371837303,151.7724371837303,,0.030891325536460186
Ethereum,2025-09-06 00:00:00,4306.613513100346,4306.613513100346,4306.613513100346,4306.613513100346,519830732357.0378,37950930494.82325,0.0019800451490217764,,0.0,8.518852555750527,8.518852555750527,8.518852555750527,,0.032362012350008296
Ethereum,2025-09-07 00:00:00,4273.110024157841,4273.110024157841,4273.110024157841,4273.110024157841,515852185188.91895,14497961323.191992,-0.007809962429142216,,0.0,33.5034889425051,33.5034889425051,33.5034889425051,,0.031844137644001964
Ethereum,2025-09-08 00:00:00,4304.032421076036,4304.032421076036,4304.032421076036,4304.032421076036,519663340480.02106,14920604279.616674,0.007210450587325182,,0.0,30.922396918195773,30.922396918195773,30.922396918195773,,0.031510313644384974
Ethereum,2025-09-09 00:00:00,4309.685702772004,4309.685702772004,4309.685702772004,4309.685702772004,519912892077.1541,26393884729.75394,0.0013126230569406568,,0.0,5.653281695967962,5.653281695967962,5.653281695967962,,0.03152533479607066
Ethereum,2025-09-10 00:00:00,4309.342746120013,4309.342746120013,4309.342746120013,4309.342746120013,520461727067.3641,28408982228.170376,-7.958127861074839e-05,,0.0,0.3429566519916989,0.3429566519916989,0.3429566519916989,,0.03137332861827467
Ethereum,2025-09-11 00:00:00,4347.476803670656,4347.476803670656,4347.476803670656,4347.476803670656,524803924739.0028,34848418445.62599,0.008810234288819817,,0.0,38.134057550643774,38.134057550643774,38.134057550643774,,0.031268339414703646
Ethereum,2025-09-12 00:00:00,4459.31901599882,4459.31901599882,4459.31901599882,4459.31901599882,538261336997.6129,33593064568.960487,0.025400435702195162,,0.0,111.84221232816344,111.84221232816344,111.84221232816344,,0.03145645900965433
Ethereum,2025-09-13 00:00:00,4708.841744149995,4708.841744149995,4708.841744149995,4708.841744149995,567724477218.3574,39138140052.58744,0.054445896214919846,,0.0,249.52272815117522,249.52272815117522,249.52272815117522,,0.03264123623751798
Ethereum,2025-09-14 00:00:00,4667.699652630318,4667.699652630318,4667.699652630318,4667.699652630318,563397805739.7904,30452117451.68358,-0.008775593006260884,,0.0,41.1420915196768,41.1420915196768,41.1420915196768,,0.03683120505741941
