Coin,Date,Open,High,Low,Close,Market Cap,Volume,LogReturn,RealizedVol,H-L,H-PC,L-PC,TR,ATR,garch_vol
Bitcoin,2025-09-27 00:00:00,109710.20874667744,109710.20874667744,109710.20874667744,109710.20874667744,2185866776171.5464,55257214020.568245,0.006829183206768601,,0.0,746.6786107210937,746.6786107210937,746.6786107210937,1058.370972196449,0.01868645187866069
Bitcoin,2025-09-28 00:00:00,109654.81021075726,109654.81021075726,109654.81021075726,109654.81021075726,2185203231301.0562,23294896964.31016,-0.0005050808680543746,,0.0,55.39853592017607,55.39853592017607,55.39853592017607,1048.7881132254208,0.01882310431560249
Bitcoin,2025-09-29 00:00:00,112142.57362752674,112142.57362752674,112142.57362752674,112142.57362752674,2235798877396.134,31274654338.51212,0.022433697888870507,,0.0,2487.7634167694778,2487.7634167694778,2487.7634167694778,1183.8405483116658,0.01895777870002817
Bitcoin,2025-09-30 00:00:00,114309.15041119447,114309.15041119447,114309.15041119447,114309.15041119447,2278362523594.3135,57833295882.65785,0.019135583125670055,,0.0,2166.576783667726,2166.576783667726,2166.576783667726,1336.9033779731606,0.019090524139846982
Bitcoin,2025-10-01 00:00:00,114024.22783550054,114024.22783550054,114024.22783550054,114024.22783550054,2272137555069.4507,57718901820.70616,-0.002495673000291787,,0.0,284.9225756939268,284.9225756939268,284.9225756939268,1259.7123505838547,0.019221387742367306
Bitcoin,2025-10-02 00:00:00,118503.24451752483,118503.24451752483,118503.24451752483,118503.24451752483,2359569556068.08,69920179085.4708,0.03852938940799209,,0.0,4479.0166820242885,4479.0166820242885,4479.0166820242885,1557.7204561451529,0.01935041473029514
Bitcoin,2025-10-03 00:00:00,120611.71911591051,120611.71911591051,120611.71911591051,120611.71911591051,2399524207991.5527,71252850672.75252,0.017636112909059143,,0.0,2108.4745983856847,2108.4745983856847,2108.4745983856847,1659.0723126536395,0.019477648549208283
Bitcoin,2025-10-04 00:00:00,122250.15186842803,122250.15186842803,122250.15186842803,122250.15186842803,2436956902844.7153,83155430408.51796,0.013492917627592985,0.2785735065323022,0.0,1638.4327525175177,1638.4327525175177,1638.4327525175177,1669.6971788972753,0.019603130964390637
Bitcoin,2025-10-05 00:00:00,122380.93708463266,122380.93708463266,122380.93708463266,122380.93708463266,2438832157552.7866,35161626561.80918,0.0010692445447119847,0.27537842962409836,0.0,130.7852162046329,130.7852162046329,130.7852162046329,1674.774344097299,0.019726902155690805
Bitcoin,2025-10-06 00:00:00,123506.18520027678,123506.18520027678,123506.18520027678,123506.18520027678,2461221856764.1885,72011486031.26575,0.009152622230823172,0.2757314851373503,0.0,1125.2481156441208,1125.2481156441208,1125.2481156441208,1725.7895399470674,0.01984900080147241
Bitcoin,2025-10-07 00:00:00,124773.50823074432,124773.50823074432,124773.50823074432,124773.50823074432,2486073086655.2866,69605991064.72382,0.01020892220266919,0.27517875419077326,0.0,1267.323030467538,1267.323030467538,1267.323030467538,1630.045543769624,0.019969464158781786
Bitcoin,2025-10-08 00:00:00,121518.75593575071,121518.75593575071,121518.75593575071,121518.75593575071,2421938444026.2783,76087884719.80028,-0.02643153890156935,0.29454247812453566,0.0,3254.75229499361,3254.75229499361,3254.75229499361,1814.3439120901187,0.020088328137328654
Bitcoin,2025-10-09 00:00:00,123352.50487523204,123352.50487523204,123352.50487523204,123352.50487523204,2459003621170.118,62576032795.36722,0.014977529115787452,0.29703379316540757,0.0,1833.748939481331,1833.748939481331,1833.748939481331,1852.5828929960614,0.020205627369042366
Bitcoin,2025-10-10 00:00:00,121698.03066778315,121698.03066778315,121698.03066778315,121698.03066778315,2423288659157.484,72097306668.91356,-0.013503331820415855,0.30166947021831864,0.0,1654.4742074488895,1654.4742074488895,1654.4742074488895,1659.5425542814296,0.020321395272237957
Bitcoin,2025-10-11 00:00:00,113201.74064138904,113201.74064138904,113201.74064138904,113201.74064138904,2265659827789.9917,151002213089.8765,-0.07237127566216818,0.3927512161599912,0.0,8496.290026394112,8496.290026394112,8496.290026394112,2213.0862268295023,0.020435664112764457
Bitcoin,2025-10-12 00:00:00,110853.11663883903,110853.11663883903,110853.11663883903,110853.11663883903,2211404015103.109,108643865752.17674,-0.020965490852767856,0.39606202918529626,0.0,2348.6240025500156,2348.6240025500156,2348.6240025500156,2376.8880458744907,0.020548465061743366
Bitcoin,2025-10-13 00:00:00,115189.5714637257,115189.5714637257,115189.5714637257,115189.5714637257,2294724465036.9785,93857100744.12454,0.03837316718680881,0.4191327958346228,0.0,4336.454824886678,4336.454824886678,4336.454824886678,2508.9374321685764,0.0206598282428966
Bitcoin,2025-10-14 00:00:00,115222.28302116522,115222.28302116522,115222.28302116522,115222.28302116522,2296863527017.9863,68935270367.04033,0.00028393988436427125,0.4191082183808315,0.0,32.711557439513854,32.711557439513854,32.711557439513854,2356.5184874379897,0.020769782791129704
Bitcoin,2025-10-15 00:00:00,113156.56943826913,113156.56943826913,113156.56943826913,113156.56943826913,2257545230986.0146,91211854988.91518,-0.018090728614178257,0.4234326189440014,0.0,2065.713582896089,2065.713582896089,2065.713582896089,2483.7178450952874,0.02087835689206894
